Athlete,State,Sport,Gender,Age,Coach,Event Type,Medals
Pooja Reddy,Uttar Pradesh,Mallakhamb,Male,33,Coach Patil,Pole Mallakhamb,
Arjun Kaur,Punjab,Mallakhamb,Female,17,Coach Sharma,Pole Mallakhamb,"Bronze, Gold, Bronze"
Rohan Yadav,Maharashtra,Mallakhamb,Male,29,Coach Sharma,Pole Mallakhamb,
Vijay Sharma,Tamil Nadu,Mallakhamb,Female,28,Coach Patil,Rope Mallakhamb,"Silver, Gold"
Isha Yadav,West Bengal,Mallakhamb,Male,35,Coach Kumar,Rope Mallakhamb,"Gold, Bronze, Gold"
Arjun Yadav,Punjab,Mallakhamb,Male,26,Coach Patil,Rope Mallakhamb,"Gold, Gold"
Isha Reddy,Uttar Pradesh,Mallakhamb,Female,27,Coach Singh,Rope Mallakhamb,
Anjali Kaur,Karnataka,Mallakhamb,Female,30,Coach Patil,Rope Mallakhamb,
Arjun Patil,Haryana,Mallakhamb,Male,23,Coach Kumar,Rope Mallakhamb,"Silver, Bronze"
Aman Kaur,Uttar Pradesh,Mallakhamb,Female,24,Coach Patil,Pole Mallakhamb,
Pooja Desai,West Bengal,Mallakhamb,Female,17,Coach Singh,Rope Mallakhamb,
Aman Reddy,Haryana,Mallakhamb,Male,19,Coach Patil,Rope Mallakhamb,
Dev Singh,West Bengal,Mallakhamb,Female,17,Coach Kumar,Pole Mallakhamb,
Isha Reddy,Haryana,Mallakhamb,Male,30,Coach Patil,Pole Mallakhamb,
Yash Chauhan,Karnataka,Mallakhamb,Female,17,Coach Iyer,Pole Mallakhamb,"Gold, Bronze"
Sakshi Nair,Tamil Nadu,Mallakhamb,Female,30,Coach Patil,Pole Mallakhamb,"Gold, Silver, Gold"
Isha Sharma,Punjab,Mallakhamb,Female,29,Coach Patil,Rope Mallakhamb,
Aman Patil,Haryana,Mallakhamb,Female,33,Coach Patil,Pole Mallakhamb,"Bronze, Silver"
Aman Chauhan,Karnataka,Mallakhamb,Female,33,Coach Sharma,Pole Mallakhamb,Gold
Pooja Kaur,Karnataka,Mallakhamb,Male,18,Coach Kumar,Pole Mallakhamb,
Arjun Kaur,Uttar Pradesh,Mallakhamb,Male,22,Coach Patil,Pole Mallakhamb,"Gold, Silver, Bronze"
Arjun Reddy,Punjab,Mallakhamb,Male,19,Coach Iyer,Pole Mallakhamb,"Gold, Bronze"
Arjun Singh,Gujarat,Mallakhamb,Male,27,Coach Patil,Rope Mallakhamb,"Silver, Gold"
Aman Nair,Karnataka,Mallakhamb,Male,34,Coach Patil,Pole Mallakhamb,"Bronze, Silver, Gold"
Dev Desai,Kerala,Mallakhamb,Male,29,Coach Singh,Rope Mallakhamb,"Bronze, Bronze"
Anjali Reddy,Karnataka,Mallakhamb,Male,28,Coach Kumar,Pole Mallakhamb,"Gold, Silver"
Aman Singh,West Bengal,Mallakhamb,Male,16,Coach Sharma,Pole Mallakhamb,
Isha Desai,Rajasthan,Mallakhamb,Female,23,Coach Kumar,Rope Mallakhamb,Silver
Sakshi Singh,Kerala,Mallakhamb,Female,21,Coach Singh,Rope Mallakhamb,"Gold, Silver, Silver"
Arjun Yadav,Maharashtra,Mallakhamb,Female,30,Coach Singh,Rope Mallakhamb,"Bronze, Silver, Silver"
Sakshi Reddy,Maharashtra,Mallakhamb,Female,25,Coach Singh,Pole Mallakhamb,Silver
Rohan Patil,Rajasthan,Mallakhamb,Male,25,Coach Singh,Rope Mallakhamb,Bronze
Isha Kaur,Tamil Nadu,Mallakhamb,Male,26,Coach Patil,Pole Mallakhamb,
Anjali Yadav,Gujarat,Mallakhamb,Male,25,Coach Patil,Pole Mallakhamb,"Silver, Bronze"
Rohan Kaur,Haryana,Mallakhamb,Male,30,Coach Sharma,Rope Mallakhamb,Gold
Vijay Chauhan,Tamil Nadu,Mallakhamb,Female,22,Coach Patil,Pole Mallakhamb,
Sakshi Joshi,Gujarat,Mallakhamb,Male,29,Coach Singh,Pole Mallakhamb,
Yash Desai,Tamil Nadu,Mallakhamb,Male,25,Coach Singh,Rope Mallakhamb,"Silver, Bronze"
Rohan Joshi,Kerala,Mallakhamb,Male,26,Coach Iyer,Pole Mallakhamb,Silver
Yash Patil,Maharashtra,Mallakhamb,Female,34,Coach Sharma,Pole Mallakhamb,Silver
Vijay Joshi,Rajasthan,Mallakhamb,Male,28,Coach Sharma,Pole Mallakhamb,"Bronze, Bronze"
Yash Sharma,Uttar Pradesh,Mallakhamb,Male,30,Coach Patil,Pole Mallakhamb,Gold
Arjun Desai,Uttar Pradesh,Mallakhamb,Female,25,Coach Kumar,Rope Mallakhamb,
Dev Kaur,Haryana,Mallakhamb,Male,33,Coach Patil,Rope Mallakhamb,"Gold, Silver, Silver"
Yash Kaur,Karnataka,Mallakhamb,Male,17,Coach Kumar,Pole Mallakhamb,Bronze
Pooja Yadav,Punjab,Mallakhamb,Female,19,Coach Patil,Rope Mallakhamb,"Gold, Silver, Gold"
